Symbol	Description	Chromosome	Aliases
ACKR4	atypical chemokine receptor 4	3	CC-CKR-11, CCBP2, CCR-11, CCR10, CCR11, CCRL1, CCX CKR, CCX-CKR, CKR-11, PPR1, VSHK1
ACLY	ATP citrate lyase	17	ACL, ATPCL, CLATP
ACO1	aconitase 1	9	ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1
ACO2	aconitase 2	22	ACONM, HEL-S-284, ICRD, OCA8, OPA9
ACOX3	acyl-CoA oxidase 3, pristanoyl	4	
ACOXL	acyl-CoA oxidase like	2	
ACP1	acid phosphatase 1	2	HAAP, LMW-PTP, LMWPTP
ACP2	acid phosphatase 2, lysosomal	11	LAP
ACP4	acid phosphatase 4	19	ACPT, AI1J
ACP5	acid phosphatase 5, tartrate resistant	19	HPAP, TRACP5a, TRACP5b, TRAP, TrATPase
ACPP	acid phosphatase, prostate	3	5'-NT, ACP-3, ACP3
ACRBP	acrosin binding protein	12	CT23, OY-TES-1, SP32
ACSL1	acyl-CoA synthetase long chain family member 1	4	ACS1, FACL1, FACL2, LACS, LACS1, LACS2
ACSL3	acyl-CoA synthetase long chain family member 3	2	ACS3, FACL3, LACS 3, LACS3, PRO2194
ACSL4	acyl-CoA synthetase long chain family member 4	X	ACS4, FACL4, LACS4, MRX63, MRX68
ACSL5	acyl-CoA synthetase long chain family member 5	10	ACS2, ACS5, FACL5
ACSS2	acyl-CoA synthetase short chain family member 2	20	ACAS2, ACECS, ACS, ACSA, dJ1161H23.1
ACTA1	actin, alpha 1, skeletal muscle	1	ACTA, ASMA, CFTD, CFTD1, CFTDM, MPFD, NEM1, NEM2, NEM3, SHPM
ACTA2	actin, alpha 2, smooth muscle, aorta	10	ACTSA
ACTB	actin beta	7	BRWS1, PS1TP5BP1
ACTBL2	actin, beta like 2	5	ACT
ACTC1	actin, alpha, cardiac muscle 1	15	ACTC, ASD5, CMD1R, CMH11, LVNC4
ACTG2	actin, gamma 2, smooth muscle, enteric	2	ACT, ACTA3, ACTE, ACTL3, ACTSG, VSCM
ACTL7A	actin like 7A	9	
ACTL8	actin like 8	1	CT57
ACTN1	actinin alpha 1	14	BDPLT15
ACTN3	actinin alpha 3 (gene/pseudogene)	11	ACTN3D
ACTN4	actinin alpha 4	19	ACTININ-4, FSGS, FSGS1
ACTR1A	ARP1 actin related protein 1 homolog A	10	ARP1, Arp1A, CTRN1
ACTR2	ARP2 actin related protein 2 homolog	2	ARP2
ACTR3	ARP3 actin related protein 3 homolog	2	ARP3
ACTRT3	actin related protein T3	3	ARP-T3, ARPM1
ACVR1	activin A receptor type 1	2	ACTRIA, ACVRLK2, ALK2, FOP, SKR1, TSRI, ACVR1
ACVR1B	activin A receptor type 1B	12	ACTRIB, ACVRLK4, ALK4, SKR2
ACVR1C	activin A receptor type 1C	2	ACVRLK7, ALK7
ACVR2A	activin A receptor type 2A	2	ACTRII, ACVR2
ACVR2B	activin A receptor type 2B	3	ACTRIIB, ActR-IIB, HTX4
ACY1	aminoacylase 1	3	ACY-1D, HEL-S-5, ACY1
ADA	adenosine deaminase	20	
ADAM10	ADAM metallopeptidase domain 10	15	AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz
ADAM11	ADAM metallopeptidase domain 11	17	MDC
ADAM12	ADAM metallopeptidase domain 12	10	ADAM12-OT1, CAR10, MCMP, MCMPMltna, MLTN, MLTNA
ADAM15	ADAM metallopeptidase domain 15	1	MDC15
ADAM17	ADAM metallopeptidase domain 17	2	ADAM18, CD156B, CSVP, NISBD, NISBD1, TACE
ADAM19	ADAM metallopeptidase domain 19	5	FKSG34, MADDAM, MLTNB
ADAM2	ADAM metallopeptidase domain 2	8	CRYN1, CRYN2, CT15, FTNB, PH-30b, PH30, PH30-beta
ADAM22	ADAM metallopeptidase domain 22	7	ADAM 22, MDC2
ADAM23	ADAM metallopeptidase domain 23	2	MDC-3, MDC3
ADAM28	ADAM metallopeptidase domain 28	8	ADAM 28, MDC-L, MDCL, eMDC II, eMDCII
ADAM29	ADAM metallopeptidase domain 29	4	CT73, svph1
ADAM33	ADAM metallopeptidase domain 33	20	C20orf153, DJ964F7.1
ADAM8	ADAM metallopeptidase domain 8	10	CD156, CD156a, MS2
ADAM9	ADAM metallopeptidase domain 9	8	CORD9, MCMP, MDC9, Mltng
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	21	C3-C5, METH1
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	5	PRO4389
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	9	ADAM-TS13, ADAMTS-13, C9orf8, VWFCP, vWF-CP
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	10	
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	11	
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	5	ADAMTS16s
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	15	
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	16	ADAMTS21, KNO2, MMCAT
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	1	ADAMTS-2, ADAMTS-4, ADMP-1
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	21	ADAM-TS 11, ADAM-TS 5, ADAM-TS5, ADAMTS-11, ADAMTS-5, ADAMTS11, ADMP-2
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	15	ADAM-TS 7, ADAM-TS7, ADAMTS-7
ADAMTS7P3	ADAMTS7 pseudogene 3	15	
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11	ADAM-TS8, METH2
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	3	
ADAMTSL3	ADAMTS like 3	15	ADAMTSL-3
ADAR	adenosine deaminase, RNA specific	1	ADAR1, AGS6, DRADA, DSH, DSRAD, G1P1, IFI-4, IFI4, K88DSRBP, P136
ADARB1	adenosine deaminase, RNA specific B1	21	ADAR2, DRABA2, DRADA2, RED1
ADAT1	adenosine deaminase, tRNA specific 1	16	HADAT1
ADCY2	adenylate cyclase 2	5	AC2, HBAC2
ADCYAP1	adenylate cyclase activating polypeptide 1	18	PACAP
ADCYAP1R1	ADCYAP receptor type I	7	PAC1, PAC1R, PACAPR, PACAPRI
ADD1	adducin 1	4	ADDA
ADD2	adducin 2	2	ADDB
ADGRB1	adhesion G protein-coupled receptor B1	8	BAI1, GDAIF
ADGRE2	adhesion G protein-coupled receptor E2	19	CD312, EMR2, VBU
ADGRE5	adhesion G protein-coupled receptor E5	19	CD97, TM7LN1
ADGRF1	adhesion G protein-coupled receptor F1	6	GPR110, KPG_012, PGR19, hGPCR36
ADGRF5	adhesion G protein-coupled receptor F5	6	GPR116, KPG_001
ADGRG1	adhesion G protein-coupled receptor G1	16	BFPP, BPPR, GPR56, TM7LN4, TM7XN1
ADGRG2	adhesion G protein-coupled receptor G2	X	CBAVDX, EDDM6, GPR64, HE6, TM7LN2
ADGRL3	adhesion G protein-coupled receptor L3	4	CIRL3, CL3, LEC3, LPHN3
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	4	ADH1
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	4	ADH2, HEL-S-117
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	4	ADH3
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	4	ADH-2, HEL-S-4
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	4	ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR, HEL-S-60p
ADH6	alcohol dehydrogenase 6 (class V)	4	ADH-5
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	4	ADH4
ADI1	acireductone dioxygenase 1	2	APL1, ARD, Fe-ARD, HMFT1638, MTCBP1, Ni-ARD, SIPL, mtnD
ADIPOQ	adiponectin, C1Q and collagen domain containing	3	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28
ADIPOR1	adiponectin receptor 1	1	ACDCR1, CGI-45, CGI45, PAQR1, TESBP1A
ADIPOR2	adiponectin receptor 2	12	ACDCR2, PAQR2
ADIRF	adipogenesis regulatory factor	10	AFRO, APM2, C10orf116, apM-2
ADK	adenosine kinase	10	AK
ADM	adrenomedullin	11	AM, PAMP
ADM2	adrenomedullin 2	22	AM2, dJ579N16.4
ADNP	activity dependent neuroprotector homeobox	20	ADNP1, HVDAS, MRD28
ADO	2-aminoethanethiol dioxygenase	10	C10orf22
ADORA1	adenosine A1 receptor	1	RDC7
ADORA2A	adenosine A2a receptor	22	A2aR, ADORA2, RDC8
ADORA2B	adenosine A2b receptor	17	ADORA2
ADORA3	adenosine A3 receptor	1	A3AR
ADRA1A	adrenoceptor alpha 1A	8	ADRA1C, ADRA1L1, ALPHA1AAR
ADRA1D	adrenoceptor alpha 1D	20	ADRA1, ADRA1A, ADRA1R, ALPHA1, DAR, dJ779E11.2
ADRA2A	adrenoceptor alpha 2A	10	ADRA2, ADRA2R, ADRAR, ALPHA2AAR, ZNF32
ADRB1	adrenoceptor beta 1	10	ADRB1R, B1AR, BETA1AR, RHR
ADRB2	adrenoceptor beta 2	5	ADRB2R, ADRBR, B2AR, BAR, BETA2AR
ADRB3	adrenoceptor beta 3	8	BETA3AR
ADRM1	adhesion regulating molecule 1	20	ARM-1, ARM1, GP110
ADSS	adenylosuccinate synthase	1	ADEH 2, ADSS
AEN	apoptosis enhancing nuclease	15	ISG20L1, pp12744
AES	amino-terminal enhancer of split	19	AES-1-2, ESP1, GRG, GRG5, Grg-5, TLE5, AES
AFAP1	actin filament associated protein 1	4	AFAP, AFAP-11010, AFAP1
AFAP1-AS1	AFAP1 antisense RNA 1	4	AFAP1-AS, AFAP1AS
AFAP1L1	actin filament associated protein 1 like 1	5	
AFAP1L2	actin filament associated protein 1 like 2	10	CTB-1144G6.4, KIAA1914, XB130
AFDN	afadin, adherens junction formation factor	6	AF6, MLL-AF6, MLLT4, l-afadin
AFF3	AF4/FMR2 family member 3	2	LAF4, MLLT2-like
AFG1L	AFG1 like ATPase	6	AFG1, LACE1, c222389
AFM	afamin	4	ALB2, ALBA, ALF
AFP	alpha fetoprotein	4	AFPD, FETA, HPAFP
AGA	aspartylglucosaminidase	4	AGU, ASRG, GA
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	12	CENTG1, GGAP2, PIKE
AGBL2	ATP/GTP binding protein like 2	11	CCP2
AGBL4	ATP/GTP binding protein like 4	1	CCP6
AGER	advanced glycosylation end-product specific receptor	6	RAGE, SCARJ1
AGGF1	angiogenic factor with G-patch and FHA domains 1	5	GPATC7, GPATCH7, HSU84971, HUS84971, VG5Q
AGK	acylglycerol kinase	7	CATC5, CTRCT38, MTDPS10, MULK
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1	GDE
AGO1	argonaute 1, RISC catalytic component	1	EIF2C, EIF2C1, GERP95, Q99, hAgo1
AGO2	argonaute 2, RISC catalytic component	8	CASC7, EIF2C2, LINC00980, PPD, Q10
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	6	1-AGPAT1, G15, LPAAT-alpha, LPAATA
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	9	1-AGPAT2, BSCL, BSCL1, LPAAB, LPAAT-beta
AGPS	alkylglycerone phosphate synthase	2	ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY, RCDP3
AGR2	anterior gradient 2, protein disulphide isomerase family member	7	AG-2, AG2, GOB-4, HAG-2, HEL-S-116, HPC8, PDIA17, XAG-2
AGR3	anterior gradient 3, protein disulphide isomerase family member	7	AG-3, AG3, BCMP11, HAG3, PDIA18, hAG-3
AGRN	agrin	1	AGRIN, CMS8, CMSPPD
AGT	angiotensinogen	1	ANHU, SERPINA8, hFLT1
AGTR1	angiotensin II receptor type 1	3	AG2SB, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R, AGTR1
AGTR2	angiotensin II receptor type 2	X	AT2, ATGR2, MRX88
AHCY	adenosylhomocysteinase	20	SAHH, adoHcyase
AHNAK2	AHNAK nucleoprotein 2	14	C14orf78
AHR	aryl hydrocarbon receptor	7	bHLHe76
AHRR	aryl-hydrocarbon receptor repressor	5	AHH, AHHR, bHLHe77
AHSG	alpha 2-HS glycoprotein	3	A2HS, AHS, FETUA, HSGA
AICDA	activation induced cytidine deaminase	12	AID, ARP2, CDA2, HEL-S-284, HIGM2
AIF1	allograft inflammatory factor 1	6	AIF-1, IBA1, IRT-1, IRT1
AIFM1	apoptosis inducing factor mitochondria associated 1	X	AIF, CMT2D, CMTX4, COWCK, COXPD6, DFNX5, NADMR, NAMSD, PDCD8
AIFM2	apoptosis inducing factor, mitochondria associated 2	10	AMID, PRG3
AIFM3	apoptosis inducing factor, mitochondria associated 3	22	AIFL
AIM2	absent in melanoma 2	1	PYHIN4
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	4	EMAP2, EMAPII, HLD3, SCYE1, p43
AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	7	JTV-1, JTV1, P38
AIP	aryl hydrocarbon receptor interacting protein	11	ARA9, FKBP16, FKBP37, PITA1, SMTPHN, XAP-2, XAP2
AIRE	autoimmune regulator	21	AIRE1, APECED, APS1, APSI, PGA1
AJUBA	ajuba LIM protein	14	JUB
AK3	adenylate kinase 3	9	AK3L1, AK6, AKL3L, AKL3L1, FIX
AKAP10	A-kinase anchoring protein 10	17	AKAP-10, D-AKAP-2, D-AKAP2, PRKA10
AKAP12	A-kinase anchoring protein 12	6	AKAP250, SSeCKS
AKAP13	A-kinase anchoring protein 13	15	AKAP-13, AKAP-Lbc, ARHGEF13, BRX, HA-3, Ht31, LBC, PRKA13, PROTO-LB, PROTO-LBC, c-lbc, p47
AKAP2	A-kinase anchoring protein 2	9	AKAP-2, AKAPKL, MISP2, PRKA2
AKAP3	A-kinase anchoring protein 3	12	AKAP 110, AKAP110, CT82, FSP95, HEL159, PRKA3, SOB1
AKAP4	A-kinase anchoring protein 4	X	AKAP 82, AKAP-4, AKAP82, CT99, FSC1, HI, PRKA4, hAKAP82, p82
AKAP8	A-kinase anchoring protein 8	19	AKAP 95, AKAP-8, AKAP-95, AKAP95
AKAP9	A-kinase anchoring protein 9	7	AKAP-9, AKAP350, AKAP450, CG-NAP, HYPERION, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO
AKIP1	A-kinase interacting protein 1	11	BCA3, C11orf17
AKNA	AT-hook transcription factor	9	
AKR1B1	aldo-keto reductase family 1 member B	7	ADR, ALDR1, ALR2, AR
AKR1B10	aldo-keto reductase family 1 member B10	7	AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI
AKR1C1	aldo-keto reductase family 1 member C1	10	2-ALPHA-HSD, 20-ALPHA-HSD, C9, DD1, DD1/DD2, DDH, DDH1, H-37, HAKRC, HBAB, MBAB
AKR1C2	aldo-keto reductase family 1 member C2	10	AKR1C-pseudo, BABP, DD, DD-2, DD/BABP, DD2, DDH2, HAKRD, HBAB, MCDR2, SRXY8, TDD
AKR1C3	aldo-keto reductase family 1 member C3	10	DD3, DDX, HA1753, HAKRB, HAKRe, HSD17B5, PGFS, hluPGFS
AKR1C4	aldo-keto reductase family 1 member C4	10	3-alpha-HSD, C11, CDR, CHDR, DD-4, DD4, HAKRA
AKR7A2	aldo-keto reductase family 7 member A2	1	AFAR, AFAR1, AFB1-AR1, AKR7
AKT1	AKT serine/threonine kinase 1	14	AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA
AKT1S1	AKT1 substrate 1	19	Lobe, PRAS40
AKT2	AKT serine/threonine kinase 2	19	HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA
AKT3	AKT serine/threonine kinase 3	1	MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2
AKTIP	AKT interacting protein	16	FT1, FTS
ALAD	aminolevulinate dehydratase	9	ALADH, PBGS
ALB	albumin	4	HSA, PRO0883, PRO0903, PRO1341
ALCAM	activated leukocyte cell adhesion molecule	3	CD166, MEMD
ALDH1A1	aldehyde dehydrogenase 1 family member A1	9	ALDC, ALDH-E1, ALDH1, ALDH11, HEL-9, HEL-S-53e, HEL12, PUMB1, RALDH1
ALDH1A2	aldehyde dehydrogenase 1 family member A2	15	RALDH(II), RALDH2, RALDH2-T
ALDH1A3	aldehyde dehydrogenase 1 family member A3	15	ALDH1A6, ALDH6, MCOP8, RALDH3
ALDH1B1	aldehyde dehydrogenase 1 family member B1	9	ALDH5, ALDHX
ALDH1L1	aldehyde dehydrogenase 1 family member L1	3	10-FTHFDH, 10-fTHF, FDH, FTHFD
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12	ALDH-E2, ALDHI, ALDM
ALDH3A1	aldehyde dehydrogenase 3 family member A1	17	ALDH3, ALDHIII
ALDH7A1	aldehyde dehydrogenase 7 family member A1	5	ATQ1, EPD, PDE
ALDH7A1P4	aldehyde dehydrogenase 7 family member A1 pseudogene 4	10	ATQL4
ALDOA	aldolase, fructose-bisphosphate A	16	ALDA, GSD12, HEL-S-87p
ALK	ALK receptor tyrosine kinase	2	CD246, NBLST3
ALKBH1	alkB homolog 1, histone H2A dioxygenase	14	ABH, ABH1, ALKBH, alkB, hABH
ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	12	ABH2
ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase	11	ABH3, DEPC-1, DEPC1, PCA1, hABH3
ALKBH7	alkB homolog 7	19	ABH7, SPATA11, UNQ6002
ALKBH8	alkB homolog 8, tRNA methyltransferase	11	ABH8, TRM9, TRMT9, TRMT9A
ALOX12	arachidonate 12-lipoxygenase, 12S type	17	12-LOX, 12S-LOX, LOG12
ALOX15	arachidonate 15-lipoxygenase	17	12-LOX, 15-LOX, 15-LOX-1, LOG15
ALOX15B	arachidonate 15-lipoxygenase, type B	17	15-LOX-2
ALOX5	arachidonate 5-lipoxygenase	10	5-LO, 5-LOX, 5LPG, LOG5
ALOX5AP	arachidonate 5-lipoxygenase activating protein	13	FLAP
ALPI	alkaline phosphatase, intestinal	2	IAP
ALPL	alkaline phosphatase, liver/bone/kidney	1	AP-TNAP, APTNAP, HOPS, TNAP, TNSALP
ALPP	alkaline phosphatase, placental	2	ALP, PALP, PLAP, PLAP-1
ALPPL2	alkaline phosphatase, placental like 2	2	ALPG, ALPPL, GCAP
ALS2CR12	amyotrophic lateral sclerosis 2 chromosome region 12	2	
ALX1	ALX homeobox 1	12	CART1, FND3, HEL23
ALX4	ALX homeobox 4	11	CRS5, FND2
AMACR	alpha-methylacyl-CoA racemase	5	AMACRD, CBAS4, P504S, RACE, RM
AMBP	alpha-1-microglobulin/bikunin precursor	9	A1M, EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI
AMBRA1	autophagy and beclin 1 regulator 1	11	DCAF3, WDR94
AMD1	adenosylmethionine decarboxylase 1	6	ADOMETDC, AMD, SAMDC
AMER3	APC membrane recruitment protein 3	2	FAM123C
AMFR	autocrine motility factor receptor	16	GP78, RNF45
AMH	anti-Mullerian hormone	19	MIF, MIS
AMIGO2	adhesion molecule with Ig like domain 2	12	ALI1, AMIGO-2, DEGA
AMOT	angiomotin	X	
AMOTL1	angiomotin like 1	11	JEAP
AMOTL2	angiomotin like 2	3	LCCP
AMPH	amphiphysin	7	AMPH1
ANAPC1	anaphase promoting complex subunit 1	2	APC1, MCPR, TSG24
ANAPC2	anaphase promoting complex subunit 2	9	APC2
ANAPC7	anaphase promoting complex subunit 7	12	APC7
ANG	angiogenin	14	ALS9, HEL168, RAA1, RNASE4, RNASE5
ANGPT1	angiopoietin 1	8	AGP1, AGPT, ANG1
ANGPT2	angiopoietin 2	8	AGPT2, ANG2
ANGPTL1	angiopoietin like 1	1	ANG3, ANGPT3, ARP1, AngY, UNQ162, dJ595C2.2
ANGPTL2	angiopoietin like 2	9	ARP2, HARP
ANGPTL4	angiopoietin like 4	19	ARP4, FIAF, HARP, HFARP, NL2, PGAR, TGQTL, UNQ171, pp1158
ANGPTL6	angiopoietin like 6	19	AGF, ARP5
ANGPTL7	angiopoietin like 7	1	AngX, CDT6, dJ647M16.1
ANK1	ankyrin 1	8	ANK, SPH1, SPH2
ANK2	ankyrin 2	4	ANK-2, LQT4, brank-2
ANK3	ankyrin 3	10	ANKYRIN-G, MRT37
ANKLE1	ankyrin repeat and LEM domain containing 1	19	ANKRD41, LEM3, LEMD6
ANKRD1	ankyrin repeat domain 1	10	ALRP, C-193, CARP, CVARP, MCARP, bA320F15.2
ANKRD11	ankyrin repeat domain 11	16	ANCO-1, ANCO1, LZ16, T13
ANKRD16	ankyrin repeat domain 16	10	
ANKRD17	ankyrin repeat domain 17	4	GTAR, MASK2, NY-BR-16
ANKRD18A	ankyrin repeat domain 18A	9	
ANKRD18B	ankyrin repeat domain 18B	9	bA255A11.3, bA255A11.5
ANKRD30A	ankyrin repeat domain 30A	10	NY-BR-1
ANKRD30B	ankyrin repeat domain 30B	18	NY-BR-1.1
ANKRD30BP2	ankyrin repeat domain 30B pseudogene 2	21	C21orf99, CT85, CTSP-1, CTSP1
ANKRD45	ankyrin repeat domain 45	1	CT117
ANKRD6	ankyrin repeat domain 6	6	
ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	6	ANKS1
ANLN	anillin actin binding protein	7	FSGS8, Scraps, scra
ANO1	anoctamin 1	11	DOG1, ORAOV2, TAOS2, TMEM16A
ANO7	anoctamin 7	2	D-TMPP, DTMPP, IPCA-5, IPCA5, NGEP, PCANAP5, PCANAP5L, TMEM16G
ANO9	anoctamin 9	11	PIG5, TMEM16J, TP53I5
ANOS1	anosmin 1	X	ADMLX, HH1, HHA, KAL, KAL1, KALIG-1, KMS, WFDC19
ANP32A	acidic nuclear phosphoprotein 32 family member A	15	C15orf1, HPPCn, I1PP2A, LANP, MAPM, PHAP1, PHAPI, PP32
